exp_name,family,model,dim,lr,epochs,seed,run_dir,val_precision@5,val_recall@5,val_ndcg@5,val_precision@10,val_recall@10,val_ndcg@10,val_precision@20,val_recall@20,val_ndcg@20,test_precision@5,test_recall@5,test_ndcg@5,test_precision@10,test_recall@10,test_ndcg@10,test_precision@20,test_recall@20,test_ndcg@20
ncf_d16_lr0.0005_ep4_s33,ranking,ncf,16,0.0005,4,33,runs/ncf_d16_lr0.0005_ep4_s33_20260309_185541,0.016,0.08,0.058613531161467856,0.012,0.12,0.0706547309880271,0.012,0.24,0.09948189054179883,0.02,0.1,0.05261859507142916,0.016,0.16,0.07130533186630511,0.013000000000000001,0.26,0.09699541300733695
ncf_d64_lr0.001_ep2_s11,ranking,ncf,64,0.001,2,11,runs/ncf_d64_lr0.001_ep2_s11_20260309_185544,0.016,0.08,0.03635058730615869,0.012,0.12,0.04949533096159876,0.014000000000000002,0.28,0.08972607491277343,0.008,0.04,0.01722706232293572,0.008,0.08,0.030132502591453926,0.008,0.16,0.05020983115013569
ncf_d64_lr0.001_ep2_s22,ranking,ncf,64,0.001,2,22,runs/ncf_d64_lr0.001_ep2_s22_20260309_185547,0.0,0.0,0.0,0.006,0.06,0.02002958401067865,0.009,0.18,0.04963712975609649,0.008,0.04,0.017737056144690833,0.006,0.06,0.024861199886851273,0.007000000000000001,0.14,0.04546697539530669
ncf_d64_lr0.001_ep2_s33,ranking,ncf,64,0.001,2,33,runs/ncf_d64_lr0.001_ep2_s33_20260309_185551,0.016,0.08,0.037227062322935725,0.016,0.16,0.06111955282464544,0.01,0.2,0.0714065900050008,0.02,0.1,0.05420637252044615,0.016,0.16,0.0736604137116008,0.016,0.32,0.11401278946562662
ncf_d64_lr0.001_ep4_s11,ranking,ncf,64,0.001,4,11,runs/ncf_d64_lr0.001_ep4_s11_20260309_185554,0.012,0.06,0.030355651216119984,0.016,0.16,0.05998004400867437,0.01,0.2,0.07081189362244085,0.008,0.04,0.027737056144690832,0.012,0.12,0.053111589304583415,0.011,0.22,0.07814903537247042
ncf_d64_lr0.001_ep4_s22,ranking,ncf,64,0.001,4,22,runs/ncf_d64_lr0.001_ep4_s22_20260309_185557,0.008,0.04,0.016350587306158695,0.008,0.08,0.029256027574676893,0.009,0.18,0.054213911097297715,0.012,0.06,0.028969182377587846,0.008,0.08,0.03527847991330242,0.01,0.2,0.06569541434040965
ncf_d64_lr0.001_ep4_s33,ranking,ncf,64,0.001,4,33,runs/ncf_d64_lr0.001_ep4_s33_20260309_185601,0.012,0.06,0.03861353116146786,0.014000000000000002,0.14,0.06554908522573503,0.012,0.24,0.08990141203861715,0.02,0.1,0.06496411846762656,0.014000000000000002,0.14,0.07810886212306663,0.012,0.24,0.10312370596920786
ncf_d64_lr0.0005_ep2_s11,ranking,ncf,64,0.0005,2,11,runs/ncf_d64_lr0.0005_ep2_s11_20260309_185604,0.012,0.06,0.03861353116146786,0.012,0.12,0.05772816102115895,0.013000000000000001,0.26,0.092162641092629,0.004,0.02,0.02,0.006,0.06,0.03314474365544007,0.012,0.24,0.07707238868666548
ncf_d64_lr0.0005_ep2_s22,ranking,ncf,64,0.0005,2,22,runs/ncf_d64_lr0.0005_ep2_s22_20260309_185607,0.004,0.02,0.00861353116146786,0.006,0.06,0.020654730988027108,0.005,0.1,0.030282295251222294,0.008,0.04,0.016350587306158695,0.004,0.04,0.016350587306158695,0.006,0.12,0.03700677477786306
ncf_d64_lr0.0005_ep2_s33,ranking,ncf,64,0.0005,2,33,runs/ncf_d64_lr0.0005_ep2_s33_20260309_185611,0.02,0.1,0.06896918237758784,0.014000000000000002,0.14,0.08077107881722523,0.012,0.24,0.10559513213529849,0.016,0.08,0.053850721304326166,0.014000000000000002,0.14,0.0752231525308075,0.014000000000000002,0.28,0.10935831366212373
ncf_d64_lr0.0005_ep4_s11,ranking,ncf,64,0.0005,4,11,runs/ncf_d64_lr0.0005_ep4_s11_20260309_185614,0.016,0.08,0.03635058730615869,0.012,0.12,0.04949533096159876,0.015,0.3,0.0945860255679087,0.008,0.04,0.01722706232293572,0.008,0.08,0.030132502591453926,0.008,0.16,0.050328991646332
ncf_d64_lr0.0005_ep4_s22,ranking,ncf,64,0.0005,4,22,runs/ncf_d64_lr0.0005_ep4_s22_20260309_185617,0.0,0.0,0.0,0.006,0.06,0.020557585020035463,0.009,0.18,0.05007705970142345,0.008,0.04,0.017737056144690833,0.006,0.06,0.024861199886851273,0.007000000000000001,0.14,0.045638114172337846
ncf_d64_lr0.0005_ep4_s33,ranking,ncf,64,0.0005,4,33,runs/ncf_d64_lr0.0005_ep4_s33_20260309_185621,0.016,0.08,0.039845657394364874,0.016,0.16,0.06373814789607458,0.009,0.18,0.06914291098462098,0.02,0.1,0.05508284753722318,0.02,0.2,0.08657808855493707,0.016,0.32,0.11618668575922632
