n,mismatch_scale,ips_mean,ips_std,ips_min,ips_max,snips_mean,snips_std,snips_min,snips_max,dr_mean,dr_std,dr_min,dr_max
500,0.5,0.13879772739744478,0.00033885674996766947,0.13811023940150685,0.13895616923567852,0.4969104880770963,8.381506246790396e-05,0.4967399713363199,0.49695017132277003,0.4999426750411429,4.6552925512521483e-07,0.49994187129273043,0.49994310329039243
500,1.0,0.48819978345594056,0.008207112010135255,0.47221492947637217,0.49264752482548774,0.49214781632399673,0.0009126319509018739,0.49036441352666227,0.49264752482548774,0.5016387551949574,0.00015577717800102723,0.5013404233559854,0.5017255960116608
500,2.0,1.104102876132292,0.050343270167171814,1.010425660355505,1.1341198994026755,0.4967167586160052,0.0010494111723078354,0.4955988747349281,0.49817912644334705,0.4967435953943206,0.0006048127336673688,0.4961842047457826,0.49777711811526776
1000,0.5,0.1405540610964635,0.0003869165093745573,0.13977152415807728,0.1407438394485534,0.49947579812976467,4.6086344487074946e-05,0.4994328434983411,0.49956522907573714,0.5075338020062827,1.8081532795643034e-06,0.5075312043582564,0.5075351085038715
1000,1.0,0.5133130755640989,0.009300176233479741,0.4948985680590174,0.5181368300138016,0.5181018635828009,8.270514482265085e-05,0.5179404425859088,0.5181680629459642,0.4888200804937391,0.00012185427692569913,0.48876333562100727,0.4890678226108475
1000,2.0,1.1049196028145907,0.034482177940791794,1.0366855887721595,1.1227975175980245,0.5093424704157555,0.0011214404674980783,0.5074293858996152,0.5100330055525811,0.49496225595494603,0.00022923156611752906,0.4947371301046935,0.4954091941269073
2500,0.5,0.1423008183993202,0.0003893430517136303,0.14151699320325697,0.14248991712523215,0.4993538848274117,4.559722024646297e-05,0.49933117853417847,0.4994463569568861,0.5046549055353459,2.1359827653090544e-06,0.5046505751691037,0.50465623628404
2500,1.0,0.4890534650330692,0.00785198791191878,0.47355907545428527,0.49319503427712896,0.49316025796453183,0.00034958906278907497,0.4925264255121391,0.4936059846160324,0.4945697318046807,3.8465244350486214e-05,0.49449159012929705,0.4945925840657317
2500,2.0,1.089280939808003,0.04921370039911602,0.9971888456107577,1.11787049294504,0.4997734630387452,0.0023403712166567064,0.496006934930331,0.5012933182554123,0.5091130943378631,8.877103756407603e-05,0.5090609372836876,0.509289074718521
5000,0.5,0.14088038045692375,0.0003916659068906382,0.14009067116398682,0.1410694233820309,0.49827731354012883,1.622875940609403e-05,0.4982444087434428,0.4982875169280761,0.4864180200036295,8.782986073025592e-07,0.48641625225075813,0.4864184519444318
5000,1.0,0.49891816959978513,0.007923484228289828,0.48333102639702774,0.5031315801770057,0.5030543008020779,0.00019557916007522606,0.5026619730307673,0.5031917303717702,0.4961768815624599,5.9968650784717476e-05,0.49605582645200047,0.49620670470577416
5000,2.0,1.0711608543194444,0.037956940436059725,0.9988553157064635,1.0932428827084386,0.4971375480499876,0.00020472157713540915,0.4969026328747051,0.4975196202480464,0.49871019597411403,0.0002517913988050034,0.498522051646223,0.4991087437073994
