n,mismatch_scale,clip,ips,snips,dr
500,0.5,1e-06,0.1389561692356785,0.49695017132277,0.4999429039864712
500,0.5,0.0001,0.1389561692356785,0.49695017132277,0.4999429039864712
500,0.5,0.001,0.1389561692356785,0.49695017132277,0.4999429039864712
500,0.5,0.01,0.1389465978475882,0.4969359401557031,0.4999431032903924
500,0.5,0.05,0.1388610194285379,0.4969365030022448,0.4999423637043212
500,0.5,0.1,0.1381102394015068,0.4967399713363199,0.4999418712927304
500,1.0,1e-06,0.4926475248254877,0.4926475248254877,0.5017255960116608
500,1.0,0.0001,0.4926475248254877,0.4926475248254877,0.5017255960116608
500,1.0,0.001,0.4926475248254877,0.4926475248254877,0.5017255960116608
500,1.0,0.01,0.4925563492810339,0.4926017460082146,0.5017247121171858
500,1.0,0.05,0.4864848475017741,0.4919781639326401,0.5015906076615908
500,1.0,0.1,0.4722149294763721,0.4903644135266622,0.5013404233559854
500,2.0,1e-06,1.1341198994026755,0.4962134578409088,0.4964443912209565
500,2.0,0.0001,1.1341198994026755,0.4962134578409088,0.4964443912209565
500,2.0,0.001,1.1341198994026755,0.4962134578409088,0.4964443912209565
500,2.0,0.01,1.130279487185424,0.4955988747349281,0.4961842047457826
500,2.0,0.05,1.0815524110447965,0.4978821769950297,0.4971670758420035
500,2.0,0.1,1.010425660355505,0.498179126443347,0.4977771181152677
1000,0.5,1e-06,0.1407438394485534,0.4994686207974912,0.507534914076944
1000,0.5,0.0001,0.1407438394485534,0.4994686207974912,0.507534914076944
1000,0.5,0.001,0.1407438394485534,0.4994686207974912,0.507534914076944
1000,0.5,0.01,0.1407125411092135,0.4994508538120359,0.5075351085038715
1000,0.5,0.05,0.1406087829658301,0.4994328434983411,0.5075317569447366
1000,0.5,0.1,0.1397715241580772,0.4995652290757371,0.5075312043582564
1000,1.0,1e-06,0.5181368300138016,0.5181368300138016,0.4887633356210072
1000,1.0,0.0001,0.5181368300138016,0.5181368300138016,0.4887633356210072
1000,1.0,0.001,0.5181368300138016,0.5181368300138016,0.4887633356210072
1000,1.0,0.01,0.5180946705071071,0.5181680629459642,0.4887712639539602
1000,1.0,0.05,0.5124747247770641,0.5180921859235272,0.4887913895346054
1000,1.0,0.1,0.4948985680590174,0.5179404425859088,0.4890678226108475
1000,2.0,1e-06,1.1227975175980245,0.5100330055525811,0.4949068028745188
1000,2.0,0.0001,1.1227975175980245,0.5100330055525811,0.4949068028745188
1000,2.0,0.001,1.1227975175980245,0.5100330055525811,0.4949068028745188
1000,2.0,0.01,1.1227975175980245,0.5100330055525811,0.4949068028745188
1000,2.0,0.05,1.101641957723287,0.5084934143845935,0.4947371301046935
1000,2.0,0.1,1.0366855887721595,0.5074293858996152,0.4954091941269073
2500,0.5,1e-06,0.1424899171252321,0.4993311785341784,0.5046555979059509
2500,0.5,0.0001,0.1424899171252321,0.4993311785341784,0.5046555979059509
2500,0.5,0.001,0.1424899171252321,0.4993311785341784,0.5046555979059509
2500,0.5,0.01,0.1424892100864306,0.4993409433178861,0.5046558280410786
2500,0.5,0.05,0.1423289557305373,0.4993424730871628,0.50465623628404
2500,0.5,0.1,0.1415169932032569,0.4994463569568861,0.5046505751691037
2500,1.0,1e-06,0.4931950342771289,0.4931950342771289,0.494584218613773
2500,1.0,0.0001,0.4931950342771289,0.4931950342771289,0.494584218613773
2500,1.0,0.001,0.4931950342771289,0.4931950342771289,0.494584218613773
2500,1.0,0.01,0.4930401625687933,0.4932440348276329,0.4945925840657317
2500,1.0,0.05,0.4881364493439497,0.4936059846160324,0.4945815607917367
2500,1.0,0.1,0.4735590754542852,0.4925264255121391,0.494491590129297
2500,2.0,1e-06,1.11787049294504,0.5012933182554123,0.5090609372836876
2500,2.0,0.0001,1.11787049294504,0.5012933182554123,0.5090609372836876
2500,2.0,0.001,1.11787049294504,0.5012933182554123,0.5090609372836876
2500,2.0,0.01,1.1164937191502005,0.5011025773774549,0.5090969753168966
2500,2.0,0.05,1.0683915952519398,0.4976513111584485,0.509109704140698
2500,2.0,0.1,0.9971888456107576,0.496006934930331,0.509289074718521
5000,0.5,1e-06,0.1410694233820309,0.4982826739982749,0.4864184519444318
5000,0.5,0.0001,0.1410694233820309,0.4982826739982749,0.4864184519444318
5000,0.5,0.001,0.1410694233820309,0.4982826739982749,0.4864184519444318
5000,0.5,0.01,0.1410671273911857,0.4982875169280761,0.4864184306317542
5000,0.5,0.05,0.1409162140402773,0.4982839335744295,0.4864180813059692
5000,0.5,0.1,0.1400906711639868,0.4982444087434428,0.4864162522507581
5000,1.0,1e-06,0.5031315801770057,0.5031315801770057,0.4962067047057741
5000,1.0,0.0001,0.5031315801770057,0.5031315801770057,0.4962067047057741
5000,1.0,0.001,0.5031315801770057,0.5031315801770057,0.4962067047057741
5000,1.0,0.01,0.5029750676774982,0.5030773608789126,0.4962016121982537
5000,1.0,0.05,0.497808182993168,0.5026619730307673,0.4961837366071828
5000,1.0,0.1,0.4833310263970277,0.5031917303717702,0.4960558264520004
5000,2.0,1e-06,1.0932428827084386,0.4970850094046798,0.498522051646223
5000,2.0,0.0001,1.0932428827084386,0.4970850094046798,0.498522051646223
5000,2.0,0.001,1.0932428827084386,0.4970850094046798,0.498522051646223
5000,2.0,0.01,1.0899123700766231,0.4975196202480464,0.4986549350820711
5000,2.0,0.05,1.058468792008264,0.4969026328747051,0.4989313421165446
5000,2.0,0.1,0.9988553157064636,0.4971480069631346,0.4991087437073994
